ID;areaGobierno;delegacion;servicio;departamento;nivelPuesto;puesto;nombrePuesto;tipoPuesto;tipoPersonal;formaProvision;adcripcionGrupos;adcripcionEscalas;nivelComplementoDestino;complementoEspecificoPuntos;complementoEspecificoEuros;observacionesRequisitos;situacion
201;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
202;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
203;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
204;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
205;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
206;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
207;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
208;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
209;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
210;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
211;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
212;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
213;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
214;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
215;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
216;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
217;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
218;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
219;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
220;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
221;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
222;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
223;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
224;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
225;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
226;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
227;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
228;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
229;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
230;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
231;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
232;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
233;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
234;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
235;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
236;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
237;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
238;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
239;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
240;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
241;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
242;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
243;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
244;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
245;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
246;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
247;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
248;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
249;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
250;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
251;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
252;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";
253;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE ECONOMÍA, HACIENDA, PATRIMONIO Y RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SERVICIO DE RECURSOS HUMANOS;SU;SU001;ORDENANZA;NS;F/L;-;E;A.G./A.E.;13;210;8330;"TA-0; AERL";VACANTE
254;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU003;MONITOR/A ACTIVIDADES DEPORTIVAS, FÍSICAS, EDUCATIVAS Y MEDIO AMBIENTE;NS;L;-;C2;-;14;210;8330;TA-0;
255;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU003;MONITOR/A ACTIVIDADES DEPORTIVAS, FÍSICAS, EDUCATIVAS Y MEDIO AMBIENTE;NS;L;-;C2;-;14;210;8330;TA-0;
256;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU003;MONITOR/A ACTIVIDADES DEPORTIVAS, FÍSICAS, EDUCATIVAS Y MEDIO AMBIENTE;NS;L;-;C2;-;14;210;8330;TA-0;
257;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU003;MONITOR/A ACTIVIDADES DEPORTIVAS, FÍSICAS, EDUCATIVAS Y MEDIO AMBIENTE;NS;L;-;C2;-;14;210;8330;TA-0;
258;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU003;MONITOR/A ACTIVIDADES DEPORTIVAS, FÍSICAS, EDUCATIVAS Y MEDIO AMBIENTE;NS;L;-;C2;-;14;210;8330;TA-0;
259;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU003;MONITOR/A ACTIVIDADES DEPORTIVAS, FÍSICAS, EDUCATIVAS Y MEDIO AMBIENTE;NS;L;-;C2;-;14;210;8330;TA-0;
260;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU003;MONITOR/A ACTIVIDADES DEPORTIVAS, FÍSICAS, EDUCATIVAS Y MEDIO AMBIENTE;NS;L;-;C2;-;14;210;8330;TA-0;
261;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU003;MONITOR/A ACTIVIDADES DEPORTIVAS, FÍSICAS, EDUCATIVAS Y MEDIO AMBIENTE;NS;L;-;C2;-;14;210;8330;TA-0;
262;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU003;MONITOR/A ACTIVIDADES DEPORTIVAS, FÍSICAS, EDUCATIVAS Y MEDIO AMBIENTE;NS;L;-;C2;-;14;210;8330;TA-0;
263;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU031;MONITOR/A DE NATACIÓN Y SOCORRISTA;NS;L;-;C2;-;14;210;8330;TA-O;VACANTE
264;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU031;MONITOR/A DE NATACIÓN Y SOCORRISTA;NS;L;-;C2;-;14;210;8330;TA-O;VACANTE
265;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU031;MONITOR/A DE NATACIÓN Y SOCORRISTA;NS;L;-;C2;-;14;210;8330;TA-O;VACANTE
266;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU031;MONITOR/A DE NATACIÓN Y SOCORRISTA;NS;L;-;C2;-;14;210;8330;TA-O;VACANTE
267;ÁREA DE GOBIERNO DE ECONOMÍA PRODUCTIVA, HACIENDA Y RRHH;DELEGACIÓN DE DEPORTES Y MEDIO RURAL;SERVICIO DE PROMOCIÓN E INSTALACIONES DEPORTIVAS;DEPARTAMENTO GESTIÓN DE INSTALACIONES DEPORTIVAS Y PLANIFICACIÓN;AU;AU031;MONITOR/A DE NATACIÓN Y SOCORRISTA;NS;L;-;C2;-;14;210;8330;TA-O;VACANTE
